"id","date","text","codes","definitions","sections"
"9350327","2016-05-24","1. A flip-flop comprising: a tri-state inverter configured to receive a flip-flop input and a clock input; a master latch coupled to an output of the tri-state inverter and configured to provide a control signal to the tri-state inverter, the control signal configured to activate the tri-state inverter; a slave latch configured to receive an output of the master latch and the control signal; and an output inverter coupled to an output of the slave latch and configured to generate a flip-flop output.","H03K ","H03K:PULSE TECHNIQUE (measuring pulse characteristics G01R; modulating sinusoidal oscillations with pulses H03C; transmission of digital information H04L; discriminator circuits detecting phase difference between two signals by counting or integrating cycles of oscillation H03D3/04; automatic control, starting, synchronisation or stabilisation of generators of electronic oscillations or pulses where the type of generator is irrelevant or unspecified H03L; coding, decoding or code conversion, in general H03M)
;","H"
"9849270","2017-12-26","1. An adhesive composite dressing comprising: an anchor member comprising a first skin-contact adhesive; a target member comprising an opening adapted to enable skin treatment; a folding member comprising a drug reservoir and a second skin-contact adhesive, wherein the folding member is attached to the anchor member through a hinge defined by a line of attachment that is not contiguous with an edge of the anchor member; and an impermeable barrier between the drug reservoir and the second skin-contact adhesive.","A61B A61K A61M Y10T ","A61B:DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)
;A61K:PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)
;A61M:DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {(Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021)}
;Y10T:TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION
;","A Y"
"8940390","2015-01-27","1. A ceramics composite comprising an inorganic material which comprises: a matrix phase comprising translucent ceramics; and a phosphor phase comprising YAG containing Ce, wherein a content of the phosphor phase is from 22% by volume to 55% by volume based on a whole phase including the matrix phase and the phosphor phase, wherein a content of Ce in the YAG is 0.005 to 0.05 in terms of an atomic ratio of Ce to Y (Ce/Y), and wherein the ceramics composite has a thickness in a light outgoing direction of 30 μm to 200 μm.","C04B C09K H01L ","C04B:LIME, MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF, e.g. MORTARS, CONCRETE OR LIKE BUILDING MATERIALS; ARTIFICIAL STONE {(roofing granules E04D7/005)}; CERAMICS (devitrified glass-ceramics C03C10/00); REFRACTORIES; TREATMENT OF NATURAL STONE
;C09K:MATERIALS FOR MISCELLANEOUS APPLICATIONS, NOT PROVIDED FOR ELSEWHERE
;H01L:SEMICONDUCTOR DEVICES NOT COVERED BY CLASS H10 (use of semiconductor devices for measuring G01; resistors in general H01C; magnets, inductors or transformers H01F; capacitors in general H01G; electrolytic devices H01G9/00; batteries or accumulators H01M; waveguides, resonators or lines of the waveguide type H01P; line connectors or current collectors H01R; stimulated-emission devices H01S; electromechanical resonators H03H; loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers H04R; electric light sources in general H05B; printed circuits, hybrid circuits, casings or constructional details of electrical apparatus, manufacture of assemblages of electrical components H05K; use of semiconductor devices in circuits having a particular application, see the subclass for the application)
;","C H"
"8432689","2013-04-30","1. A computer chassis, comprising: a first chassis retainer on one side of the computer chassis and defining an opening, the first chassis retainer including a first flexible flange biased away from the opening, wherein the first flexible flange includes a protruding portion that extends toward the opening; wherein the protruding portion is configured to flex inwardly in relation to the computer chassis; and wherein the first flexible flange is configured to be urged outwardly in relation to the computer chassis such that the protruding portion extends through the opening.","G06F H05K ","G06F:ELECTRIC DIGITAL DATA PROCESSING (computer systems based on specific computational models G06N)
;H05K:PRINTED CIRCUITS; CASINGS OR CONSTRUCTIONAL DETAILS OF ELECTRIC APPARATUS; MANUFACTURE OF ASSEMBLAGES OF ELECTRICAL COMPONENTS
;","G H"
"8443144","2013-05-14","1. A memory device, comprising: a first memory configured to have a first storage capacity; a second memory configured to have a second storage capacity greater than the first storage capacity; and a controller configured to receive a virtual address from an external host and configured to provide the external host with an address space corresponding to a third storage capacity, the third storage capacity being less than a sum of the first storage capacity and second storage capacity, wherein the controller converts and translates the virtual address into a physical address of either the first or second memory based on a temporal locality of the received virtual address, where data requested from the external host is stored in the first memory, the controller transmits the requested data from the first memory to the external host, and where the requested data is not stored in the first memory, the controller transmits the requested data from the second memory to the external host.","G06F Y02D ","G06F:ELECTRIC DIGITAL DATA PROCESSING (computer systems based on specific computational models G06N)
;Y02D:CLIMATE CHANGE MITIGATION TECHNOLOGIES IN INFORMATION AND COMMUNICATION TECHNOLOGIES [ICT], I.E. INFORMATION AND COMMUNICATION TECHNOLOGIES AIMING AT THE REDUCTION OF THEIR OWN ENERGY USE
;","G Y"
"9618007","2017-04-11","1. A blower assembly comprising: a housing including a fluid inlet and a spaced apart fluid outlet; a blower wheel disposed in the housing, the blower wheel including an inlet ring and plurality of spaced apart blades, a peripheral surface of the inlet ring enclosed by the fluid inlet; and a pre-swirler disposed in the fluid inlet of the housing, the pre-swirler including a plurality of vanes, each of the vanes having a leading edge, a trailing edge, and an outer edge extending between the leading edge and the trailing edge, wherein a blade exposure distance is less than about 10 mm and a blower wheel overlap distance is greater than about 5.5 mm, wherein the blade exposure distance is a distance between a junction point of the trailing edge with the outer edge of each of the vanes of the pre-swirler and an end of a trailing edge of at least one of the blades of the blower wheel, and wherein the blower wheel overlap distance is a distance between the junction point of the trailing edge with the outer edge of each of the vanes of the pre-swirler and the peripheral surface of the inlet ring of the blower wheel, wherein the blade exposure distance is a vertical distance extending parallel to a rotation axis of the blower wheel and the blower wheel overlap distance is a vertical distance extending parallel to the rotation axis of the blower wheel, wherein the pre-swirler includes a central hub, an outer ring, and an inner ring disposed between the central hub and the outer ring, wherein the vanes extend from the central hub to the outer ring through the inner ring, wherein the junction point is positioned between the inner ring and the outer ring, and wherein the junction point is disposed inside the blower wheel.","F04D ","F04D:NON-POSITIVE-DISPLACEMENT PUMPS (engine fuel-injection pumps F02M; ion pumps H01J41/12; electrodynamic pumps H02K44/02)
;","F"
"9101570","2015-08-11","1. A method to treat diabetes comprising: implanting concentrated nucleated cells including stem cells from multiple source tissues directly into tissue of the duodenum to reset or repair the immune system or to reset or repair metabolite production in the duodenum, the concentrated nucleated cells being a heterogeneous population of cells and including cells from a bone marrow aspirate, a fat aspirate, cord blood, Wharton's Jelly, or afterbirth tissue.","A61K C12N Y10S ","A61K:PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)
;C12N:MICROORGANISMS OR ENZYMES; COMPOSITIONS THEREOF; PROPAGATING, PRESERVING, OR MAINTAINING MICROORGANISMS; MUTATION OR GENETIC ENGINEERING; CULTURE MEDIA (microbiological testing media C12Q1/00)
;Y10S:TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS
;","A C Y"
"8490905","2013-07-23","1. A horizontal shaft impact crusher comprising a crusher housing having an inlet for material to be crushed and an outlet for material that has been crushed, an impeller mounted in the crusher housing for rotation about a substantially horizontal axis, a curtain disposed in the crusher housing and arranged so material accelerated by the impeller may be crushed thereagainst, and an adjustment device for adjusting the position of said curtain relative to the impeller, wherein at least two guide rods are disposed in the crusher housing and to which said adjustment device is slidably connected, the adjustment device including a locking device positionable selectively in: a holding state in which the locking device is de-energized and arranged to apply a holding force for holding said adjustment device in a crusher operation position relative to the guide rods, and an adjustment state in which the locking device is energized and arranged to release the holding force, thereby enabling displacement of the adjustment device relative to the guide rods.","B02C ","B02C:CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL; MILLING GRAIN ({household tools and machines for pulverising foodstuffs, e.g. coffee and spice mills A47J42/00; pharmaceutical mortars A61J3/02; mechanical processing of refuse and garbage B03B9/06; dressing mould materials by grinding B22C5/04}; obtaining metallic powder by crushing, grinding or milling B22F9/04; {recovery of plastics by disintegrating B29B17/00; crushing raw materials in starch making C08B30/02; beaters for papermaking D21D1/02; crushing devices specially for transport in mines E21F13/002; slag crushing devices F23J1/00; fuel milling devices in combustion apparatus F23K1/00; household devices for crushing coal F24B15/02; ice disintegrating devices F25C5/02})
;","B"
"9345549","2016-05-24","1. An ophthalmological laser system comprising: a laser, the radiation of which is focusable as a laser illumination light beam, wherein the laser is a pulse laser and the laser illumination light beam comprises a sequence of light pulses of average time duration between 10 milliseconds and 100 milliseconds; at least one processor; memory; at least one program stored in the memory and executable by the at least one processor, the at least one program comprising instructions to:","A61B A61F F04C ","A61B:DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)
;A61F:FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)
;F04C:ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS (engines F03C); ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS
;","A F"
"9472902","2016-10-18","1. An electrical receptacle connector, comprising: a metallic shell comprising a top cover plate, a rear cover plate, and defining a receptacle cavity, wherein the rear cover plate is extended from a back side of the top cover plate to cover a back side of the receptacle cavity and a plurality of pins are extended from two sides of a bottom of the rear cover plate; an insulated housing received in the receptacle cavity and comprising a base portion and a tongue portion extended from one of two sides of the base portion, wherein the tongue portion has an upper surface and a lower surface; a plurality of upper-row receptacle terminals comprising a plurality of signal terminals, at least one power terminal, and at least one ground terminal, wherein each of the upper-row receptacle terminals is held in the base portion and disposed at the upper surface, each of the upper-row receptacle terminals comprises a tail portion protruded from a bottom of the base portion to be arranged into a row, and the tail portions of the upper-row receptacle terminals are near to the pins; and a plurality of lower-row receptacle terminals comprising a plurality of signal terminals, at least one power terminal, and at least one ground terminal, wherein each of the lower-row receptacle terminals is held in the base portion and disposed at the lower surface, each of the lower-row receptacle terminals comprises a tail portion protruded from the bottom of the base portion to be arranged into a first row and a second row, wherein the tail portions of the lower-row receptacle terminals are parallel to the tail portions of the upper-row receptacle terminals.","H01R ","H01R:ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS
;","H"
"9535229","2017-01-03","1. A fiber optic cassette comprising: a body defining a front and an opposite rear and an enclosed interior; a cable entry location defined in the body for a cable to enter the interior of the cassette, wherein a cable that enters at the cable entry location is attached to the cassette body, and fibers are extended into the cassette body and form terminations at first connectors that are non-traditional connectors, wherein each of the first connectors are formed of only a ferrule terminating a fiber and a ferrule hub mounted to the ferrule; wherein the first connectors are connected to a rear side of adapters located at the front of the cassette, wherein the rear side of each adapter defines a structure for receiving the ferrule and the ferrule hub of one of the first connectors; wherein a front side of the adapters define termination locations for cables to be connected to the fibers connected at the rear of the adapters, wherein the termination locations are configured to receive second connectors having a different format than the first non-traditional connectors connected to the rear side of the adapters, wherein each second connector is a traditional connector including one of an SC or an LC connector; and wherein the cable includes a jacket, a strength member, and fibers, wherein the strength member is crimped to a crimp tube and is mounted to the cassette body, allowing the fibers to extend past the crimp tube into the interior of the cassette body, and wherein a strain relief boot is provided at the cable entry location.","G02B ","G02B:OPTICAL ELEMENTS, SYSTEMS OR APPARATUS
;","G"
